"module"	"tf"	"color"	"odds_ratio"	"pval"	"fdr"	"Significance"	"Jaccard"	"size_intersection"
"TBX21"	"yellow"	"TBX21"	"yellow"	2.33034048001673	4.94306926043356e-06	1.25422346772961e-05	"***"	0.0103965183752418	43
"TFAP4"	"yellow"	"TFAP4"	"yellow"	1.82260953344838	0.00460643835639002	0.00748671680581036	"**"	0.00858505564387917	27
"TFCP2"	"yellow"	"TFCP2"	"yellow"	2.51371763272558	0.00130218601738718	0.00234550688685112	"**"	0.0110726643598616	16
"TFEB"	"yellow"	"TFEB"	"yellow"	1.70426949875253	0.0282085668874641	0.0388975802182038	"*"	0.00801781737193764	18
"ZBTB7B"	"yellow"	"ZBTB7B"	"yellow"	2.05728275358656	0.00116758539423563	0.00212271008310262	"**"	0.00953079178885631	26
"ZBTB7C"	"yellow"	"ZBTB7C"	"yellow"	2.06719448515453	0.000446219261553229	0.000860524521633888	"***"	0.00955315870570108	31
"ZIC1"	"yellow"	"ZIC1"	"yellow"	2.77378748875949	2.58360804105241e-09	9.64489540596378e-09	"***"	0.0116375727348296	56
"ZIC3"	"yellow"	"ZIC3"	"yellow"	3.17716470885598	5.07842878088464e-12	2.65239757564057e-11	"***"	0.012775602719967	62
"ZBTB18"	"yellow"	"ZBTB18"	"yellow"	1.62379139359006	0.00434480885563819	0.00709240132670917	"**"	0.00767352633414719	44
"LBX2"	"yellow"	"LBX2"	"yellow"	1.66156707570572	0.0307911374930971	0.042134249898839	"*"	0.00786423841059603	19
"Lhx4"	"yellow"	"Lhx4"	"yellow"	1.02501055571412	0.509618702994845	0.540533960806854	" "	0.00503355704697987	12
"Lhx8"	"yellow"	"Lhx8"	"yellow"	1.23399808297225	0.272666319433848	0.306569818082367	" "	0.00594421582075903	13
"MEOX2"	"yellow"	"MEOX2"	"yellow"	1.43688715920689	0.0628137817295964	0.0808379778670712	""	0.00699300699300699	25
"MNX1"	"yellow"	"MNX1"	"yellow"	1.31810674677812	0.0991643592748789	0.122477834468642	" "	0.00651123713505566	31
