"module"	"tf"	"color"	"odds_ratio"	"pval"	"fdr"	"Significance"	"Jaccard"	"size_intersection"
"THAP1"	"yellow"	"THAP1"	"yellow"	2.4118607425322	3.83750919935008e-05	0.000107876848335946	"***"	0.00729765590446705	33
"KLF5"	"yellow"	"KLF5"	"yellow"	7.69650198536155	2.73796557727042e-27	4.48906004537083e-26	"***"	0.00851337241988595	106
"Arid3b"	"yellow"	"Arid3b"	"yellow"	1.05607917650077	0.44191390547564	0.478646495077789	" "	0.00373376623376623	23
"Arid5a"	"yellow"	"Arid5a"	"yellow"	1.79810967632341	0.00542777711984965	0.00979823770455618	"**"	0.00576655398687612	29
"Arntl"	"yellow"	"Arntl"	"yellow"	1.51845372110039	0.128318911636573	0.159776187074289	" "	0.00505282498851631	11
"Atf1"	"yellow"	"Atf1"	"yellow"	0.784684527387447	0.723609778013996	0.744056367192889	" "	0.00241254523522316	2
"NFAT5"	"yellow"	"NFAT5"	"yellow"	1.6515067725581	0.00924639473346959	0.0157889796192694	"*"	0.00528940607526069	35
"Bhlha15"	"yellow"	"Bhlha15"	"yellow"	1.20889035302273	0.329545143939008	0.369546301959414	" "	0.00411353352529823	10
"Creb3l2"	"yellow"	"Creb3l2"	"yellow"	1.05156868090547	0.503748522470765	0.539162694064836	" "	0.00356597045338767	7
"DMRT3"	"yellow"	"DMRT3"	"yellow"	2.0303478769235	0.00407806974660266	0.0075889991417913	"**"	0.00652985074626866	21
"Dux"	"yellow"	"Dux"	"yellow"	0.972913715498613	0.579886601029646	0.610148666245579	" "	0.00340979541227526	11
"FOXG1"	"yellow"	"FOXG1"	"yellow"	1.3054289549084	0.166186951749019	0.201218041801207	" "	0.00445732114998886	20
"Foxj2"	"yellow"	"Foxj2"	"yellow"	1.3054289549084	0.166186951749019	0.201218041801207	" "	0.00445732114998886	20
"Gmeb1"	"yellow"	"Gmeb1"	"yellow"	1.66339411376095	0.275430908267251	0.315745612858039	" "	0.00474683544303797	3
"LBX1"	"yellow"	"LBX1"	"yellow"	1.4855764759885	0.0825414022917965	0.108599446401552	" "	0.00498753117206983	18
"LIN54"	"yellow"	"LIN54"	"yellow"	1.72143299378157	0.00431579703014137	0.00797667286338919	"**"	0.00542160079897275	38
"mix-a"	"yellow"	"mix-a"	"yellow"	0.987544464738377	0.559218153741035	0.591111218832182	" "	0.00348692403486924	14
"Mlxip"	"yellow"	"Mlxip"	"yellow"	0.972222618000814	0.584759326778867	0.614733778794483	" "	0.00329127811300055	6
"NFATC1"	"yellow"	"NFATC1"	"yellow"	1.71663938747916	0.0066178170696404	0.0116839722823997	"*"	0.00548810909695659	33
"NFATC3"	"yellow"	"NFATC3"	"yellow"	1.6528629200076	0.0122342929543409	0.0202087628982857	"*"	0.0053475935828877	31
"Npas2"	"yellow"	"Npas2"	"yellow"	1.95260998435735	0.0164937112309918	0.0262842372834603	"*"	0.00635055038103302	15
"POU6F1"	"yellow"	"POU6F1"	"yellow"	1.23524316355349	0.307510623076234	0.348107624908757	" "	0.00419287211740042	10
"Rhox11"	"yellow"	"Rhox11"	"yellow"	1.90381010002871	0.0169511404480216	0.0269423204333103	"*"	0.00620876988746605	16
"SHOX"	"yellow"	"SHOX"	"yellow"	1.1962520252731	0.330258490151958	0.370207112927665	" "	0.00409074005206396	11
"Six3"	"yellow"	"Six3"	"yellow"	1.14426145931273	0.36519729393909	0.404209467772346	" "	0.0039549741405537	13
"Twist2"	"yellow"	"Twist2"	"yellow"	0.853431398165423	0.71663694075724	0.73790359945466	" "	0.00298841987299216	8
"ALX3"	"yellow"	"ALX3"	"yellow"	1.79501795709643	0.0156736290449051	0.025118211100965	"*"	0.00587199060481503	20
"Ar"	"yellow"	"Ar"	"yellow"	1.30598551820658	0.268323070052866	0.308409884656821	" "	0.00438382854359474	9
"BARHL2"	"yellow"	"BARHL2"	"yellow"	1.50236585660959	0.179225280948151	0.215648483205356	" "	0.00492914356130622	8
"BHLHE41"	"yellow"	"BHLHE41"	"yellow"	1.74403909179758	0.0868956611285507	0.113651831167037	" "	0.00566037735849057	9
"CENPB"	"yellow"	"CENPB"	"yellow"	1.99956627531444	0.056532020729294	0.0778659510223258	""	0.00632911392405063	8
"CREB3"	"yellow"	"CREB3"	"yellow"	1.1763977276257	0.40875924364414	0.447199847125248	" "	0.00389357560025957	6
"DBP"	"yellow"	"DBP"	"yellow"	1.44848693946576	0.222968559226194	0.261429540562265	" "	0.00472972972972973	7
"ELF4"	"yellow"	"ELF4"	"yellow"	1.64370935641124	0.0332793077049816	0.0487508366183923	"*"	0.00543773790103317	20
"ELF5"	"yellow"	"ELF5"	"yellow"	1.72938032692362	0.0127047846075552	0.0209049226738046	"*"	0.00563316809373592	25
"EN1"	"yellow"	"EN1"	"yellow"	2.32627204866378	0.00880202493161008	0.0151079910244029	"*"	0.00738916256157635	12
"EN2"	"yellow"	"EN2"	"yellow"	2.77914560058742	0.00111752614410726	0.00235917793704709	"**"	0.00867410161090459	14
"Esrrg"	"yellow"	"Esrrg"	"yellow"	1.18275485273355	0.290803209258072	0.331647917609817	" "	0.00409556313993174	18
"ESX1"	"yellow"	"ESX1"	"yellow"	1.58140269052111	0.0861043233483178	0.112715639776872	" "	0.00526102792391744	13
"ETV6"	"yellow"	"ETV6"	"yellow"	1.13353188921118	0.353422474175187	0.392779390293764	" "	0.00394614670380687	17
"FLI1"	"yellow"	"FLI1"	"yellow"	1.05818175861698	0.479515797753139	0.515942626401995	" "	0.0036563071297989	10
"FOXI1"	"yellow"	"FOXI1"	"yellow"	1.65840402538282	0.0232050082125756	0.035409738944682	"*"	0.00545540796963947	23
"FOXL1"	"yellow"	"FOXL1"	"yellow"	1.65840402538282	0.0232050082125756	0.035409738944682	"*"	0.00545540796963947	23
"FOXO3"	"yellow"	"FOXO3"	"yellow"	1.27807307013286	0.22278091844566	0.261312209371796	" "	0.00437062937062937	15
"GCM1"	"yellow"	"GCM1"	"yellow"	0.978901530943241	0.5783442111513	0.609030059156339	" "	0.0033112582781457	6
"GRHL1"	"yellow"	"GRHL1"	"yellow"	1.42291760846473	0.18438615073884	0.221233724891315	" "	0.00475285171102662	10
"GSC"	"yellow"	"GSC"	"yellow"	2.03933993693391	0.0143457256088432	0.0232145581435945	"*"	0.00659754948162111	14
